Store name,Address,States,Region,City,Zip_code,LAT,LNG,Instore,Pickup_Curbside,Local_Delivery,Total_Population_2017,Total_Population_2018,Total_Population_2019,Zipcode_Pop_2013,Zipcode_Pop_2014,Zipcode_Pop_2015,Current_Zipcode_Pop,Pop_density,Pop_Growth_per year_from_2010_to_2020,Predicted_Growth_per_year_from_2020_to_2025,Total_Pop growth_2017,Total_ Pop_growth_2018,Total_ Pop_growth_2019,House_Affordability_Index,Male,Female,Median_Age,Male_median_Age,Female_Median_Age,median_Household_income,Average_Home_Value,Median_Home_Value,White,Blacks_African_american ,American_indian,Asian ,Native_Hawaiian,other_race,two_or_more,Competition,HOH_Owner_15-24,HOH_Owner_25-34,HOH_Owner_35-44,HOH_Owner_45-54,HOH_Owner_55-64,HOH_Owner_65-74,HOH_Owner_75-84,HOH_Owner_85_Plus,HOH_Owner_Total,HOH_Renter_15-24,HOH_Renter_25-34,HOH_Renter_35-44,HOH_Renter_45-54,HOH_Renter_55-64,HOH_Renter_65-74,HOH_Renter_75-84,HOH_Renter_85_Plus,HOH_Renter_Total,Family_Households,Singles_Guardian,Singles,Singles_with_Roomates,Houses_built_2010_0r_later,Studio_Apartment,1_Bedroom,2_Bedroom,3+_Bedroom,Housing_units,Occupied_Housing_Units,Wealth_Index,h_income_<$25k,h_income_$25k,h_income_$45k,h_income_$60k,h_income_$100k,h_income_$150k,h_income_>$200k,Sales_2017,Sales_2018,Sales_2019,Sales_2020
Texas El Paso West,655 Sunland Park Dr El Paso TX,TX,Southwest,El Paso,79912,31.85,-106.54,1,1,1,837401,836825,839238,70530,70780,70970,77161,3276,0.51%,0.52%,0.00305136,-0.000716796,0.003002827,138,36963,40198,35,33,36,59174,243717,171800,64240,1746,394,2339,61,6481,1900,6,129,1246,3593,4487,3585,1951,1229,383,16603,1599,3721,2496,2077,1181,608,552,398,12632,14362,5419,8006,1448,247,523,3899,4712,3530,30690,29235,97,6335,5252,2979,6167,4341,1785,1948,,,4934998.469,5712144.451
Texas Farmers Branch,13307 Midway Road Farmers Branch TX,TX,Southwest,Farmers Branch,75244,32.93,-96.84,1,1,1,2620154,2629350,2635516,11980,12070,11810,13266,2877,2.13%,3.18%,0.012080103,0.003875275,0.002598406,120,6552,6714,37,35,38,72735,477316,282800,9470,1142,80,775,2,1434,363,40,12,189,401,651,591,454,444,141,2883,327,1023,587,421,241,79,48,33,2759,2514,825,1779,524,8,23,1106,1194,547,6103,5642,156,867,946,706,1108,1041,456,664,10487183.15,11843503.23,11860841.95,9384645.01
Texas Fort Worth,5608 SW Loop 820 Fort Worth TX,TX,Southwest,Fort Worth,76132,32.66,-97.42,1,1,1,2056451,2081446,2102515,21840,22600,22880,24709,3373,0.71%,0.58%,0.018099236,0.013752558,0.011592425,94,11435,13274,35,33,37,49437,388333,232400,16995,4275,92,1289,21,1357,680,17,27,240,515,977,973,621,458,136,3947,1558,2444,1295,1173,767,375,373,406,8391,4154,1910,5441,833,19,166,4498,2759,820,13297,12338,109,2635,3114,1578,2346,986,559,1119,14316971.4,14359656.69,14080898.16,11479641.85
Texas Garland,3002 Firewheel Pkwy Garland TX,TX,Southwest,Garland,75040,32.93,-96.62,1,1,1,2620154,2629350,2635516,60750,60860,60950,59406,3795,1.01%,0.85%,0.012080103,0.003875275,0.002598406,196,29217,30189,33,31,34,54664,183913,113000,33513,8685,471,5891,33,8979,1834,5,156,1570,3104,3811,2803,1404,636,182,13666,307,1229,1165,831,431,239,192,104,4498,10354,4057,3061,692,67,99,589,1189,2886,19195,18164,71,2941,4350,2633,4515,2565,689,206,,5091416.885,11851900.53,9391512.37
Texas Grand Prairie,2650 W Interstate 20 Grand Prairie TX,TX,Southwest,Grand Prairie,75052,32.65,-97.02,1,1,1,2620154,2629350,2635516,87690,88470,88810,88996,3402,1.37%,1.55%,0.012080103,0.003875275,0.002598406,188,43219,45777,32,31,33,66744,216701,134300,42615,22598,681,8718,122,11399,2863,27,250,3165,5725,6112,4069,1638,558,101,21618,803,2059,1923,1222,604,202,100,67,6980,16584,5974,4785,1255,189,77,1415,2436,3465,29926,28598,89,3770,4557,4030,8539,4755,1650,767,13196677.03,12511879.11,10351602.89,9597067.747
Texas Humble ,9450 FM 1960 Bypass Rd West Humble TX,TX,Southwest,Humble,77338,30.01,-95.29,1,1,1,4657972,4680045,4713325,35020,36030,37110,33971,1283,2.14%,2.02%,0.008280128,0.005373611,0.008101925,164,16417,177554,30,29,31,48046,168099,102600,15573,10930,194,915,239,4915,1205,13,128,1321,1519,1431,1230,582,249,63,6523,582,1477,1193,920,643,256,124,42,5237,5265,3032,2804,659,156,141,1380,2144,1718,13017,11760,54,2584,3043,1761,2810,1283,376,143,11632721.5,12584834.99,11959438.28,10935868.8
Texas Katy,19420 Katy Fwy. Houston TX,TX,Southwest,Houston,77094,29.76,-95.69,1,1,1,4657972,4680045,4713325,9800,9700,10390,8498,754,3.04%,1.34%,0.008280128,0.005373611,0.008101925,223,4218,4280,43,43,43,146518,511307,295200,6311,231,15,1700,4,104,133,31,7,115,451,1038,709,231,90,18,2659,12,50,89,66,30,14,4,0,265,2365,206,305,48,55,0,63,144,109,3189,2924,327,110,205,193,568,455,510,998,14115624.39,22003249.39,19682256.43,14924962.76
Texas Laredo,5000 San Dario Ave Laredo TX ,TX,Southwest,Laredo,78041,27.8,-99.5,1,1,0,273691,275120,276652,45480,44440,44810,44153,2410,1.16%,1.17%,0.005529697,0.005684847,0.006094602,145,21310,22843,31,29,33,42178,220711,125300,39029,208,155,529,7,3475,750,14,53,623,1353,1716,1651,1170,581,178,7325,540,1647,1331,996,366,366,254,106,5606,6946,3553,2282,462,225,225,1196,2733,1836,14232,13243,66,4216,2656,1728,2401,1210,478,383,,,4506097.91,4274260.286
Texas Lewisville,2512 S Stemmons Fwy Lewisville TX,TX,Southwest,Lewisville,75067,33.02,-96.99,1,1,1,835364,858741,887207,62490,63990,65020,60982,4588,1.89%,1.91%,0.040722299,0.035060592,0.042693023,143,30071,30911,30,30,31,56555,221803,149100,38020,7414,357,5053,43,8088,2007,16,134,1735,2505,2633,1679,829,341,70,9926,2232,5283,2885,2051,1039,457,253,136,14336,10008,4422,7582,2250,320,211,5821,5767,2536,25790,24262,67,3451,5477,4121,6181,3536,1107,435,15084063.79,14536290.66,12664158.08,10071410.33
Texas Live Oak,7613 N Loop 1604 E Live Oak TX,TX,Southwest,Live Oak,78233,29.56,-98.37,1,1,1,1956988,1981187,2003554,42390,42750,42860,43710,3328,1.35%,2.10%,0.017028299,0.01404601,0.012982648,184,21163,22547,35,33,36,54399,174458,110400,30962,4589,334,1148,123,4574,1980,29,115,1308,2058,2356,2248,1527,768,169,10549,665,1753,1230,1014,612,342,159,71,5846,7700,3522,4083,1075,111,233,1239,1750,2997,17406,16380,56,3230,3289,2706,4364,2230,242,84,13597489.95,13743367.92,12782664.4,10699581.96
Texas Lubbock ,4304 W Loop 289 Lubbock,TX,Southwest,Lubbock,79407,33.6,-102.1,1,1,0,305413,307627,310569,15700,16020,16760,19068,269,2.59%,2.08%,0.011840843,0.007898652,0.01049586,191,9410,9658,30,29,30,40221,217533,93600,15103,1001,148,338,24,1895,559,15,181,495,633,871,731,585,332,107,3935,997,1038,510,511,337,131,108,100,3732,3161,1350,2527,629,79,188,1479,1324,828,8480,7667,60,2317,1619,985,1171,710,146,383,11050032.86,11455001.64,11606628.2,10058951.09
Texas Mansfield,602 U.S. Hwy 287 Mansfield TX,TX,Southwest,Mansfield,76063,32.57,-97.13,1,1,1,2056451,2081446,2102515,65210,65860,66890,61361,1184,2.71%,2.26%,0.018099236,0.013752558,0.011592425,187,30243,31118,34,34,35,92052,290982,179600,45394,8314,342,2169,47,3417,1678,16,121,1956,4394,4495,2769,1363,549,124,15771,338,1153,1183,742,385,181,123,80,4185,13269,3097,2898,692,318,121,875,1157,1879,20899,19956,140,2119,2449,2298,4129,5683,1965,1731,,3462513.696,9805740.998,8577201.182
Texas Mesquite ,2727 Towne Centre Dr Mesquite TX,TX,Southwest,Mesquite,75150,32.82,-96.63,1,1,1,2620154,2629350,2635516,56500,57610,57890,58730,4608,0.54%,0.50%,0.012080103,0.003875275,0.002598406,197,27921,30809,32,31,34,45999,175980,105800,35996,10492,575,1825,41,7933,1868,36,137,1136,1941,2786,2313,1420,919,190,10842,1403,3047,2437,2023,1048,479,383,308,11128,9133,5455,6276,1133,61,407,4152,4117,2641,23905,21997,61,4622,5828,3272,4664,2159,707,261,12684187.2,12320284.84,10556781.75,9407271.845
Texas N.Richland Hills ,8651 Airport Fwy North Richland Hills TX,TX,Southwest,North Richland Hills,76180,32.84,-97.22,1,1,1,2056451,2081446,2102515,31040,31640,32130,33444,3552,1.05%,1.12%,0.018099236,0.013752558,0.011592425,147,16185,17259,37,34,39,52086,224443,132900,26791,2007,271,1069,62,2230,1014,32,53,596,1048,1559,1577,1091,733,224,6881,952,1858,1304,1085,711,323,371,462,7066,6093,2597,4303,954,84,373,2359,2893,1315,15098,13947,81,2428,3425,1924,3583,1549,358,373,9541903.64,9671070.326,9298693.368,7476637.234
Texas New Braunfels,642 S Walnut Ave New Braunfels TX,TX,Southwest,New Braunfels,78130,29.7,-98.1,1,1,1,140721,148141,156209,62860,64210,66520,59546,645,4.21%,2.16%,0.058349953,0.067882824,0.073811136,161,28813,30733,36,34,37,54672,241432,152000,51350,1095,413,529,22,4738,1399,14,182,1834,2708,2998,2774,1987,1388,514,14385,696,1924,1562,1264,840,493,427,273,7479,11511,3912,5201,1240,571,150,1650,3051,2967,24291,21864,87,3993,5169,2888,5697,3093,567,440,8865604.629,8967043.267,8624441.592,6885751.622
Texas Odessa,4101 E 42nd St Odessa TX ,TX,Southwest,Odessa,79762,31.9,-102.34,1,1,0,156951,161960,166223,36080,36860,35600,39056,1233,1.00%,0.81%,-0.006616816,0.036542039,0.031099763,231,19045,20011,32,30,33,56235,198596,118000,31653,1694,334,536,22,3868,949,8,219,1255,1505,2092,1817,1168,953,280,9289,1168,1797,1033,949,530,248,135,60,5920,7093,2978,4236,902,66,106,2276,2341,1673,16265,15209,100,2972,3115,2303,3927,2010,878,624,7331485.254,12029578.69,11367745.07,7759445.386
Texas Pearland,3000 Kirby Dr Pearland TX,TX,Southwest,Pearland,77584,29.54,-95.35,1,1,1,361853,368887,374264,75900,77330,80610,70228,2188,3.31%,2.13%,0.027662931,0.022370781,0.017100894,189,34146,36082,34,33,34,94103,260875,189600,38345,14295,298,11118,26,4020,2126,7,142,3347,5818,4544,2797,1403,720,179,18950,429,1645,1221,757,455,163,76,26,4772,15220,3449,4054,999,812,22,1571,1827,1963,25184,23722,142,2533,2353,2382,6042,5539,3757,2790,3746032.805,10572650.11,9400461.653,8763458.573
Texas Pflugerville ,19000 Limestone Commercial Dr Pfluggerville TX ,TX,Southwest,Pflugerville,78660,30.43,-97.6,1,1,1,1227585,1246572,1273954,76620,78440,82260,68789,1519,4.99%,2.55%,0.020839338,0.018424983,0.02657149,186,33565,35224,32,32,33,76007,278634,165700,42256,10731,452,5723,85,6942,2600,4,171,3249,5231,4717,2563,955,327,73,17286,402,1658,1518,869,510,314,199,91,5561,13311,4343,3809,1384,460,61,929,1485,3500,23950,22847,106,2752,3241,3445,6874,5362,1403,1232,12307343.18,13046667.64,13088817.3,10800449.21
Texas Pharr,1600 W Kelly Ave Pharr TX,TX,Southwest,Pharr,78577,26.2,-98.2,1,1,0,856249,862298,868707,65160,65380,66280,70840,2231,1.29%,1.26%,0.009355078,0.007763598,0.008225641,226,33982,36858,28,26,29,32054,105297,71100,60214,402,354,376,0,8296,1198,23,224,1724,2815,2494,2244,1749,1318,374,12942,687,2208,1678,892,595,394,265,153,6872,11277,5227,2717,593,358,79,1181,3851,2635,22936,19814,41,8289,4367,2390,3342,1130,335,125,8958020.795,9855212.486,10032261.44,8687989.786
Texas Plano East ,2704 Central Expy Plano TX,TX,Southwest,Plano,75074,33.08,-96.81,1,1,1,971864,1004307,1034730,46070,46800,47830,44622,2702,2.96%,2.49%,0.035705307,0.041191497,0.038626789,128,22659,21963,32,31,33,54518,458060,145400,27122,5155,297,3823,39,6527,1659,4,101,1122,1973,2246,1785,1135,457,114,8933,775,1947,1441,1070,524,281,150,49,6237,7844,3051,3236,1039,74,167,1513,2269,2028,16019,15170,144,1420,2042,1705,3585,3361,1747,2002,15059280.78,13495583.76,10433803.22,8327902.219
Texas Plano West,5540 State Highway 121 Plano TX,TX,Southwest,Plano,75024,33.04,-96.67,1,1,1,971864,1004307,1034730,39170,40070,40480,36039,2852,2.63%,2.13%,0.035705307,0.041191497,0.038626789,128,17582,18457,35,35,35,88707,268261,289300,21375,2546,125,10292,22,524,1155,38,19,593,2177,2523,1285,381,124,31,7133,773,3336,1897,1204,611,192,150,74,8237,7689,1402,5299,980,556,149,4381,3272,765,16253,15370,89,2643,3622,2031,3494,2143,881,551,,9464761.757,15194987.99,12965776.43
Texas Richmond ,4833 Waterview Meadow Dr Richmond TX,TX,Southwest,Richmond,77406,29.6,-95.8,1,1,1,767712,788081,811688,37580,38880,41370,33682,519,5.19%,3.36%,0.039901534,0.034508931,0.039994714,202,17791,15891,38,38,39,110294,350600,215700,26389,3903,154,1301,4,1208,723,3,65,1251,2060,2726,2280,902,342,62,9688,109,293,287,273,144,72,42,15,1235,7846,1317,1425,335,483,17,123,384,386,11373,10923,190,663,831,802,2575,2557,1544,2040,3710485.325,10192838.89,9399731.155,8176519.8
Texas San Antonio,8421 US Hwy 281 San Antonio TX,TX,Southwest,San Antonio,78216,29.53,-98.48,1,1,1,1956988,1981187,2003554,34850,34950,34690,40267,2817,0.19%,0.35%,0.017028299,0.01404601,0.012982648,106,19833,20434,34,33,36,41792,266913,150600,30001,1956,336,807,32,5639,1496,23,43,482,905,1466,1453,1070,859,361,6639,1670,3633,2197,1955,1210,521,335,189,11710,5950,3424,7303,1672,90,408,5366,3587,1278,20120,18349,70,4704,4582,2192,3139,1580,433,657,10601857.64,11326052.02,10590682,8672279.414
Texas San Antonio NW ,6840 NW Loop 410 San Antoni TX ,TX,Southwest,San Antonio,78238,29.47,-98.61,1,1,1,1956988,1981187,2003554,22090,22300,22100,23514,2447,0.89%,0.90%,0.017028299,0.01404601,0.012982648,145,11228,12286,32,31,34,44005,171456,109700,17289,1373,177,628,64,3107,876,13,42,546,714,856,986,703,455,129,4431,769,1445,863,769,518,233,165,83,4845,3521,2164,2921,670,196,150,2160,1560,1082,9914,9276,46,2679,2282,1255,2298,840,211,92,11504308.36,11819167.26,10803012.39,9512713.642
Texas South Austin,5151 US Hwy 290 Austin TX,TX,Southwest,Austin,78735,30.27,-97.87,1,1,1,1227585,1246572,1273954,15220,15460,15920,16131,785,3.49%,1.84%,0.020839338,0.018424983,0.02657149,131,7797,8334,37,36,39,79984,719293,373400,13526,260,92,926,7,910,410,26,17,369,789,929,814,434,210,71,3633,361,1195,557,440,287,116,182,263,3401,3331,692,2389,622,60,167,1425,1299,458,7572,7034,182,960,1045,722,1487,1054,749,1127,13378560.28,14866786.68,14824264.45,10512005.67
Texas Sugar Land,16960 Southwest Fwy Sugar Land TX ,TX,Southwest,Sugar Land,77479,29.56,-95.64,1,1,1,767712,788081,811688,82540,83380,85720,74514,2254,3.12%,2.59%,0.039901534,0.034508931,0.039994714,176,36489,38025,39,39,39,123935,425986,275400,38546,5187,147,27192,26,1195,2221,26,72,1418,4728,6840,4981,1702,523,103,20367,131,723,1030,805,384,128,229,279,3709,18367,2371,2913,425,778,75,573,882,2310,24980,24076,239,1276,2042,1581,4694,5293,3881,5433,11700825,10477547.07,10218295.38,8298432.245
Texas Tyler ,3900 Troup Hwy Tyler TX,TX,Southwest,Tyler,75703,32.2,-95.3,1,1,0,227195,229749,232751,35160,35990,36840,37166,685,1.40%,1.28%,0.009666933,0.012138322,0.014267518,154,17611,19555,36,34,38,52011,281681,177800,29400,4779,166,1184,14,851,772,2,80,707,1274,1816,1846,1391,1133,318,8565,1674,2270,1203,914,686,318,296,312,7673,7715,2256,5114,1153,236,441,2436,2961,1432,17763,16238,117,3695,3237,1921,3047,1940,815,1122,9931451.213,9828354.355,9882437.558,8277248.549
Texas Webster,20780 Gulf Fwy Webster TX ,TX,Southwest,Webster,77598,29.55,-95.14,1,1,1,4657972,4680045,4713325,19590,20100,19780,23059,1905,1.15%,1.15%,0.008280128,0.005373611,0.008101925,159,11550,11509,30,29,30,46682,224044,117100,14465,3218,124,1480,23,2796,953,40,34,355,439,578,479,222,89,28,2224,1296,2922,1499,1298,735,307,188,146,8391,3065,2056,4463,1031,68,153,3642,3543,689,11956,10615,51,2162,2621,1432,2586,780,155,169,16712759.4,18329302.94,17249252,13595001.19
Texas Wichita Falls ,3111 Midwestern Pkwy #200 Wichita Falls TX,TX,Southwest,Wichita Falls,76308,33.86,-98.55,1,1,0,131689,131807,132230,16860,16590,16820,19677,2198,0.13%,-0.12%,0.002989514,0.000895337,0.003209554,169,9417,10260,33,32,34,46546,190556,130900,16491,1468,152,515,15,583,453,13,105,528,620,1049,1064,699,575,198,4838,1220,987,433,391,234,120,186,152,3723,3642,1142,2961,816,47,232,1072,1456,946,9348,8561,67,2066,1812,1159,1604,902,317,418,4753529.251,4462264.598,4235840.352,3495746.707
Texas Willowbrook,12605 N Gessnere Dr Houston TX,TX,Southwest,Houston,77064,29.93,-95.54,1,1,1,4657972,4680045,4713325,46010,46510,46270,45847,3114,0.66%,0.81%,0.008280128,0.005373611,0.008101925,189,22813,23034,33,32,34,62610,198605,133300,24787,6161,352,7057,17,5937,1536,22,99,1236,2540,3057,2043,741,267,45,10028,586,1906,1267,863,480,137,62,12,5313,8298,2996,3268,779,284,0,1910,1876,1741,16362,15341,87,1772,3334,2251,3993,2589,968,475,13912284.28,14434787.36,13427427.23,10094224.78
Utah Provo,1165 S University Ave Provo UT,UT,West,Provo,84601,40.23,-111.7,1,1,1,606742,621520,636235,30910,31530,31590,31486,2252,1.37%,1.97%,0.031642429,0.02841934,0.028298186,124,15772,15714,25,25,25,40704,286352,167700,24340,266,388,454,555,4158,1323,8,153,1180,1109,908,738,409,245,95,4837,1277,1716,704,505,305,159,92,31,4789,5949,1418,1534,725,21,90,1121,2362,1510,10218,9626,51,3054,2572,1686,2208,551,57,95,5667479.04,6304403.246,6352177.378,5447496.672
Utah Riverdale ,1134 W Riverdale Rd Riverdale UT ,UT,West,Riverdale,84405,41.16,-111.96,1,1,1,251576,255697,260213,29460,29740,29870,31348,1745,0.67%,0.82%,0.019148505,0.017752754,0.019454365,153,15602,15746,31,30,32,55289,306933,172900,27889,433,195,420,116,1436,859,15,147,1289,1273,1505,1506,1001,785,295,7801,530,1062,581,391,225,129,101,104,3123,6337,1687,2400,500,94,23,519,2247,815,11450,10924,88,2077,2365,1728,2907,1532,356,277,7694060.808,8452174.954,9394736.688,8099508.038
Utah Sandy,203 W 9000 S Sandy UT ,UT,West,Sandy,84070,40.58,-111.89,1,1,1,1136719,1148692,1160437,24870,25150,25900,24861,3455,2.64%,2.21%,0.016079754,0.011590782,0.011370061,145,12183,12678,32,31,33,58389,340350,205900,21252,239,198,643,255,1543,731,8,82,1037,1079,1193,1114,723,378,145,5751,317,983,588,473,263,192,179,176,3171,4586,1573,2163,600,110,58,709,1089,1007,9530,8922,84,1473,1826,1286,2739,1058,231,169,11977636.97,13602950.57,12159167.46,9086117.875
Utah West Bountiful,190 500 W West Bountiful UT,UT,West,West Bountiful,84010,40.89,-111.82,1,1,1,346658,351101,355481,43340,43570,43580,44821,2978,0.63%,2.15%,0.018375499,0.014429541,0.014224936,140,21938,22883,34,32,35,63159,394017,243400,41397,279,198,633,470,959,885,15,99,1289,1586,2322,2066,1698,1451,563,11074,493,1303,759,585,368,231,236,242,4217,9637,1982,3148,524,79,134,622,2087,1439,16038,15291,128,2289,2336,2544,4010,2132,995,826,6522875.981,6908497.43,7268318.654,5848301.29
Utah West Jordan,7453 Plaza Center Dr West Jordan UT,UT,West,West Jordan,84084,40.62,-111.96,1,1,1,1136719,1148692,1160437,31760,31540,31120,37247,4826,0.64%,1.05%,0.016079754,0.011590782,0.011370061,160,18366,18881,30,30,31,63403,310721,201900,30543,391,257,1263,693,3015,1085,16,166,1587,1774,2011,1948,831,341,84,8742,364,987,642,394,234,135,124,99,2979,7011,2119,2027,561,19,0,1083,669,1275,12110,11718,85,1694,2134,1685,3240,2252,425,295,,,6581457.374,6607178.827
Virginia Chantilly,13910 Metrotech Dr Chantilly VA,VA,South,Chantilly,20151,38.89,-77.43,1,1,1,1148728,1148463,1147532,22200,22330,22170,21374,1374,0.22%,0.14%,0.004179882,-0.00024398,-0.000857152,141,10708,10666,36,36,37,122054,520016,452400,12368,1413,52,5355,15,1334,837,24,28,483,1222,1792,1275,504,128,24,5456,81,349,328,271,123,31,20,2,1205,4522,996,836,307,59,0,66,619,468,6828,6661,233,488,495,475,1248,1168,987,1666,7487640.743,9699036.077,10009905.96,7855559.942
Virginia Chesapeake,1517 Sams Cir Chesapeake VA,VA,South,Chesapeake,23320,36.76,-76.2,1,1,1,240143,242359,244835,52520,53160,53260,51797,1588,1.54%,1.25%,0.011983575,0.009912505,0.011075525,162,24573,27224,36,34,38,69475,300607,248000,30582,15651,251,2604,33,757,1919,15,204,1931,2643,3555,2767,1543,750,219,13612,871,2142,1431,1130,631,398,308,196,7107,9967,3923,5406,1423,384,270,1331,3810,2057,21820,20719,98,2569,3181,3254,6217,3632,1149,911,15281420.71,16121084.59,15945881.43,13959081.79
Virginia Chesterfield,11500 Midlothian Turnpikr Richmond VA,VA,South,Richmond,23235,37.54,-77.57,1,1,1,343276,348281,352802,30150,30040,30250,30165,1727,0.93%,0.81%,0.015123046,0.015778788,0.014252927,196,14233,15932,43,41,45,67956,287637,223100,22751,5035,100,897,9,660,713,16,46,871,1458,2124,2368,1387,982,365,9601,184,707,561,554,359,158,228,214,2965,6308,1881,3669,708,108,76,432,1191,1221,13449,12566,129,1444,2061,1820,3251,2270,868,602,11692422.26,12306652.36,11842983.4,9432603.245
Virginia Dale city,2851 Dale Blvd Dale City VA,VA,South,Dale City,22193,38.64,-77.35,1,1,1,463069,466235,470335,77590,78420,78970,73047,4133,0.42%,0.72%,0.016182919,0.007794785,0.01009432,172,36113,36934,33,32,33,90378,363380,258000,36336,20478,500,5473,120,7896,4244,13,249,2358,4131,5272,3351,1371,434,70,17236,309,1390,1375,1051,463,218,104,40,4950,13305,4486,3359,1036,166,67,665,1170,3718,23150,22186,154,1921,2251,2846,5460,4755,2884,2402,8017355.418,6978318.172,6321758.17,6104967.12
Virginia Fredericksburg,3655 Plank Rd Fredericksburg VA,VA,South,Fredericksburg,22407,38.3,-77.6,1,1,1,132739,134011,136215,54950,55360,55490,54962,969,1.24%,1.40%,0.01209179,0.010343482,0.017922196,191,26617,28345,35,34,37,78164,311714,246100,39219,9348,170,1586,63,2517,2059,28,172,1708,3068,3846,2875,1504,755,209,14137,380,1212,1038,753,435,252,282,281,4633,11017,3211,3559,983,97,144,643,1386,2752,19758,18770,138,2124,2335,2298,5164,3945,2049,977,14347484.48,7806650.558,7582667.947,7535909.635
Virginia Hampton,1072 W Mercury Blvd Hampton VA ,VA,South,Hampton,23666,37.06,-76.41,1,1,1,134725,134330,134510,46800,47010,46400,49825,2517,0.07%,-0.18%,-0.00472292,-0.002874504,0.001309901,157,23720,26105,36,33,38,55415,224905,205000,19825,25611,189,1511,56,739,1894,11,178,1239,1822,2919,2492,1680,1063,352,11745,1629,2769,1467,1372,884,483,394,209,9207,8691,4558,6516,1387,124,2367,1334,2567,1707,22464,20952,65,4077,3962,2616,5065,3002,811,322,7895830.823,8899840.282,9245753.626,9021051.936
Virginia Manassas,8300 Sudley Rd Manassas VA,VA,South,Manassas,20109,38.79,-77.53,1,1,1,463069,466235,470335,37190,37950,37760,37265,1819,0.90%,1.04%,0.016182919,0.007794785,0.01009432,157,18848,18417,30,30,31,65017,282976,230000,18402,6624,278,2677,60,7145,2079,7,106,1228,1359,1410,940,495,185,52,5775,656,2417,1718,1191,553,226,184,132,7077,5547,2830,3260,1215,33,36,1715,3135,2290,13584,12852,79,1561,2031,2086,3727,1913,901,367,6988385.147,6136405.142,5222181.557,4410865.037
Virginia Richmond,401 International Center Dr Sandston VA,VA,South,Sandston,23150,37.51,-77.26,1,1,1,327559,328993,330818,11800,11730,11780,12045,404,0.33%,0.39%,0.005298565,0.004667164,0.00593973,192,5764,6281,41,40,43,61273,222104,167600,9116,2412,94,117,5,101,200,7,56,433,577,880,872,528,349,103,3798,75,258,249,231,154,96,48,19,1130,2402,1005,1246,275,10,8,47,565,443,5264,4928,71,786,877,758,1691,741,77,25,8994829.883,7485776.64,7314013.642,6413116.162
Washington Bellingham,1001 E Sunset Dr Bellingham WA ,WA,West,Bellingham,98226,48.8,-122.5,1,1,0,221410,225197,229247,36800,37080,38390,41235,385,1.65%,1.74%,0.024773624,0.018789848,0.020094768,100,20303,20932,39,37,40,55952,511369,291000,32616,376,2722,2372,142,1362,1645,13,120,1022,1673,2314,2543,1573,994,363,10602,889,1525,937,864,638,427,364,274,5918,8243,2345,4367,1565,87,173,1292,2366,1632,17623,16520,93,3773,3020,1705,4136,2328,648,523,,,,5001393.499
Washington Kennewick,867 N Columbia Center Blvd Kennewick WA,WA,West,Kennewick,99336,46.21,-119.18,1,1,0,198200,201286,204390,44840,45570,46410,48753,3653,1.27%,1.21%,0.026668178,0.017487887,0.01758989,140,24447,24306,30,30,31,41990,239111,146100,36335,1004,426,1154,102,7348,2384,13,174,1227,1466,1962,1876,1193,765,300,8963,1470,2698,1694,1482,950,466,352,297,9409,7596,3930,5454,1392,87,363,2426,4257,2121,19401,18372,61,5438,4186,2541,3593,1561,396,368,,,3622333.766,5396730.84
Washington Puyallup,301 37th Ave SE Puyallup WA ,WA,West,Puyallup,98374,47.13,-122.25,1,1,1,879654,893756,904980,35620,35760,36660,37360,2358,1.80%,2.03%,0.021070167,0.017729667,0.014111316,146,18237,19123,36,35,37,74694,390243,243200,30785,1207,361,1678,290,888,2151,6,87,1099,2151,2597,1976,1061,546,136,9653,373,944,781,519,307,255,289,235,3703,7932,2070,2594,760,43,99,512,1376,1569,14074,13356,121,1835,1901,1331,3876,2903,1042,374,,680237.3088,11008512.65,7569727.459
Washington Spokane ,7619 N Division St Spokane WA ,WA,West,Spokane,99208,47.8,-117.5,1,1,0,505623,513603,522798,45560,45870,47170,49193,1001,1.56%,1.34%,0.018501062,0.016903879,0.01947759,120,23670,25523,38,37,40,53820,346720,210800,44085,657,663,1174,333,615,1666,11,106,1305,2219,2831,3051,1899,1285,378,13074,1095,1518,980,850,729,485,424,326,6407,10316,2826,5127,1212,131,265,1563,2989,1658,20688,19481,105,3977,4228,2483,4500,2839,968,601,,,7400808.922,5979424.061
Washington Union Gap,2530 Rudkin Rd Union Gap WA,WA,West,Union Gap,98903,46.5,-120.8,1,1,0,249922,250562,250873,14440,14630,15030,14517,50,0.43%,0.35%,0.002435969,0.002620202,0.001273254,145,7304,7213,39,38,40,46082,282079,134800,11076,85,333,184,9,2296,534,11,66,400,567,843,852,691,447,183,4049,105,322,261,270,198,94,37,17,1304,2831,982,1195,345,0,17,104,638,587,5648,5353,78,1213,1379,785,1113,615,120,94,,,,4713737.083
Wisconsin Grand Chute,3820 W Wisconsin Ave Grand Chute WI,WI,Midwest,Grand Chute,54914,44.26,-88.5,1,1,0,185816,186879,187885,29270,29250,28970,30475,1712,0.38%,0.51%,0.006913198,0.006008773,0.005686572,168,14985,15490,36,35,38,48878,184348,142800,26547,517,183,1451,25,1135,617,30,105,1047,1298,1911,1632,937,651,263,7844,847,1516,826,753,505,242,249,273,5211,5809,1909,4134,1203,39,197,1238,2611,1066,13869,13055,69,2956,2939,2289,2917,1267,322,300,,,4229264.894,6391244.074
